id,Month,Avg,Max,Min
26bd92cc-1bd7-46bc-a132-9c227115194a,7,"7,9","10,8","4,4"
26bd92cc-1bd7-46bc-a132-9c227115194a,8,"7,4","10,0","4,6"
26bd92cc-1bd7-46bc-a132-9c227115194a,9,"4,3","6,4","2,2"
26bd92cc-1bd7-46bc-a132-9c227115194a,10,"0,1","2,1","-1,5"
26bd92cc-1bd7-46bc-a132-9c227115194a,11,"-3,2","-1,0","-4,5"
26bd92cc-1bd7-46bc-a132-9c227115194a,12,"-4,9","-2,6","-6,5"
20f80ed8-ce7f-43ad-a34d-a0cb156f5d4e,1,"23,9","32,3","17,8"
20f80ed8-ce7f-43ad-a34d-a0cb156f5d4e,2,"23,7","32,0","17,6"
20f80ed8-ce7f-43ad-a34d-a0cb156f5d4e,3,"22,5","30,8","16,6"
20f80ed8-ce7f-43ad-a34d-a0cb156f5d4e,4,"20,5","28,7","14,1"
20f80ed8-ce7f-43ad-a34d-a0cb156f5d4e,5,"18,3","26,5","11,6"
20f80ed8-ce7f-43ad-a34d-a0cb156f5d4e,6,"14,8","22,7","7,5"
20f80ed8-ce7f-43ad-a34d-a0cb156f5d4e,7,"15,0","23,7","8,0"
20f80ed8-ce7f-43ad-a34d-a0cb156f5d4e,8,"17,9","26,2","10,5"
20f80ed8-ce7f-43ad-a34d-a0cb156f5d4e,9,"21,8","29,8","13,8"
20f80ed8-ce7f-43ad-a34d-a0cb156f5d4e,10,"24,3","32,1","17,0"
20f80ed8-ce7f-43ad-a34d-a0cb156f5d4e,11,"24,9","33,0","17,7"
20f80ed8-ce7f-43ad-a34d-a0cb156f5d4e,12,"24,6","32,5","18,1"
0dae5759-947a-40c9-aaea-e2e647f1061e,1,"27,0","31,2","22,3"
0dae5759-947a-40c9-aaea-e2e647f1061e,2,"26,8","31,1","22,0"
0dae5759-947a-40c9-aaea-e2e647f1061e,3,"27,3","31,1","22,6"
0dae5759-947a-40c9-aaea-e2e647f1061e,4,"27,9","31,6","23,6"
0dae5759-947a-40c9-aaea-e2e647f1061e,5,"28,7","32,1","24,5"
0dae5759-947a-40c9-aaea-e2e647f1061e,6,"29,5","32,9","25,4"
0dae5759-947a-40c9-aaea-e2e647f1061e,7,"29,8","33,4","25,5"
0dae5759-947a-40c9-aaea-e2e647f1061e,8,"29,8","33,4","25,6"
0dae5759-947a-40c9-aaea-e2e647f1061e,9,"29,6","33,3","25,3"
0dae5759-947a-40c9-aaea-e2e647f1061e,10,"28,8","32,7","24,6"
0dae5759-947a-40c9-aaea-e2e647f1061e,11,"28,0","32,1","23,7"
0dae5759-947a-40c9-aaea-e2e647f1061e,12,"27,6","31,7","22,9"
4e2d3678-bbb3-428e-a1df-0ba956ef3c77,1,"8,0","11,7","4,5"
4e2d3678-bbb3-428e-a1df-0ba956ef3c77,2,"8,7","12,9","4,9"
4e2d3678-bbb3-428e-a1df-0ba956ef3c77,3,"11,4","16,4","6,6"
4e2d3678-bbb3-428e-a1df-0ba956ef3c77,4,"15,2","20,4","9,7"
4e2d3678-bbb3-428e-a1df-0ba956ef3c77,5,"20,3","25,8","14,3"
4e2d3678-bbb3-428e-a1df-0ba956ef3c77,6,"25,5","31,0","19,1"
4e2d3678-bbb3-428e-a1df-0ba956ef3c77,7,"28,3","33,7","22,0"
4e2d3678-bbb3-428e-a1df-0ba956ef3c77,8,"27,9","33,2","22,1"
4e2d3678-bbb3-428e-a1df-0ba956ef3c77,9,"23,6","28,4","18,9"
4e2d3678-bbb3-428e-a1df-0ba956ef3c77,10,"18,5","22,7","14,5"
4e2d3678-bbb3-428e-a1df-0ba956ef3c77,11,"13,7","17,6","10,2"
4e2d3678-bbb3-428e-a1df-0ba956ef3c77,12,"9,5","13,0","6,2"
b78d096a-87d0-4010-baac-e4879cab6aa9,1,"3,5","8,1","0,3"
b78d096a-87d0-4010-baac-e4879cab6aa9,2,"5,1","9,6","1,5"
b78d096a-87d0-4010-baac-e4879cab6aa9,3,"8,7","14,0","4,0"
b78d096a-87d0-4010-baac-e4879cab6aa9,4,"13,9","19,6","9,2"
b78d096a-87d0-4010-baac-e4879cab6aa9,5,"18,1","23,7","12,9"
b78d096a-87d0-4010-baac-e4879cab6aa9,6,"23,6","30,0","18,5"
b78d096a-87d0-4010-baac-e4879cab6aa9,7,"25,8","31,9","20,6"
b78d096a-87d0-4010-baac-e4879cab6aa9,8,"26,0","32,7","19,5"
b78d096a-87d0-4010-baac-e4879cab6aa9,9,"21,0","27,2","15,6"
b78d096a-87d0-4010-baac-e4879cab6aa9,10,"14,8","20,6","10,8"
b78d096a-87d0-4010-baac-e4879cab6aa9,11,"8,9","14,0","5,2"
b78d096a-87d0-4010-baac-e4879cab6aa9,12,"4,5","8,8","1,3"
d5bca023-e7ef-45a6-bbf3-f27313ce544d,1,"3,1","6,0","0,4"
d5bca023-e7ef-45a6-bbf3-f27313ce544d,2,"5,0","9,0","1,8"
d5bca023-e7ef-45a6-bbf3-f27313ce544d,3,"7,1","11,5","3,5"
d5bca023-e7ef-45a6-bbf3-f27313ce544d,4,"9,2","14,1","4,5"
d5bca023-e7ef-45a6-bbf3-f27313ce544d,5,"14,8","19,6","10,0"
d5bca023-e7ef-45a6-bbf3-f27313ce544d,6,"20,3","25,4","14,8"
d5bca023-e7ef-45a6-bbf3-f27313ce544d,7,"20,8","25,8","15,6"
d5bca023-e7ef-45a6-bbf3-f27313ce544d,8,"21,0","26,2","16,2"
d5bca023-e7ef-45a6-bbf3-f27313ce544d,9,"17,1","22,2","12,7"
d5bca023-e7ef-45a6-bbf3-f27313ce544d,10,"12,7","17,1","9,0"
d5bca023-e7ef-45a6-bbf3-f27313ce544d,11,"6,6","9,4","3,9"
d5bca023-e7ef-45a6-bbf3-f27313ce544d,12,"4,1","6,4","1,8"
a881b470-86d0-4ce0-913b-1d453f68466e,1,"16,8","23,2","13,8"
a881b470-86d0-4ce0-913b-1d453f68466e,2,"16,4","22,7","13,0"
a881b470-86d0-4ce0-913b-1d453f68466e,3,"15,0","21,2","11,8"
a881b470-86d0-4ce0-913b-1d453f68466e,4,"12,8","18,8","9,7"
a881b470-86d0-4ce0-913b-1d453f68466e,5,"10,4","15,4","7,7"
a881b470-86d0-4ce0-913b-1d453f68466e,6,"8,8","13,2","5,9"
a881b470-86d0-4ce0-913b-1d453f68466e,7,"8,5","13,0","5,4"
a881b470-86d0-4ce0-913b-1d453f68466e,8,"9,2","14,1","5,7"
a881b470-86d0-4ce0-913b-1d453f68466e,9,"10,1","16,1","7,0"
a881b470-86d0-4ce0-913b-1d453f68466e,10,"11,5","18,0","8,6"
a881b470-86d0-4ce0-913b-1d453f68466e,11,"12,9","20,0","10,4"
a881b470-86d0-4ce0-913b-1d453f68466e,12,"14,5","21,6","12,1"
6234202f-ff97-4d9b-955f-92bccb61c317,1,"7,6","11,1","4,6"
6234202f-ff97-4d9b-955f-92bccb61c317,2,"8,4","12,6","5,8"
6234202f-ff97-4d9b-955f-92bccb61c317,3,"11,8","15,9","9,0"
6234202f-ff97-4d9b-955f-92bccb61c317,4,"15,9","20,3","12,5"
6234202f-ff97-4d9b-955f-92bccb61c317,5,"19,8","23,8","17,0"
6234202f-ff97-4d9b-955f-92bccb61c317,6,"23,1","26,9","21,4"
6234202f-ff97-4d9b-955f-92bccb61c317,7,"26,9","30,2","25,3"
6234202f-ff97-4d9b-955f-92bccb61c317,8,"28,4","32,1","26,2"
